loc_id,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./stock2015_2017/models/5model,pbMRQ,amount,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/5model,close,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/5model,turn,amount,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/5model,low,amount,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/5model,volume,amount,85,0.75,-1.0,0.5,0
./stock2015_2017/models/5model,ALL,amount,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,pcfNcfTTM,turn,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/6model,open,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,peTTM,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,amount,turn,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/6model,psTTM,turn,85,0.75,-1.0,0.5,0
./stock2015_2017/models/6model,high,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,pctChg,turn,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/6model,pbMRQ,turn,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/6model,close,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,turn,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/6model,low,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,volume,turn,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/6model,ALL,turn,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,pcfNcfTTM,pctChg,85,0.916662,0.5,0.333333,0
./stock2015_2017/models/7model,open,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,peTTM,pctChg,85,0.583331,0.5,-1.0,0
./stock2015_2017/models/7model,amount,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,psTTM,pctChg,85,0.166667,-1.0,-1.0,0
./stock2015_2017/models/7model,high,pctChg,85,0.916662,0.5,0.333333,0
./stock2015_2017/models/7model,pctChg,pctChg,85,0.166667,-1.0,-1.0,0
./stock2015_2017/models/7model,pbMRQ,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/7model,close,pctChg,85,0.749997,0.5,0.666667,0
./stock2015_2017/models/7model,turn,pctChg,85,0.833333,-1.0,0.333333,0
./stock2015_2017/models/7model,low,pctChg,85,0.5,-1.0,0.666667,0
./stock2015_2017/models/7model,volume,pctChg,85,0.916662,0.5,0.333333,0
./stock2015_2017/models/7model,ALL,pctChg,85,0.999995,1.0,0.0,0
./stock2015_2017/models/8model,pcfNcfTTM,peTTM,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/8model,open,peTTM,85,0.75,-1.0,0.5,0
./stock2015_2017/models/8model,peTTM,peTTM,85,0.75,-1.0,0.5,0
./stock2015_2017/models/8model,amount,peTTM,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/8model,psTTM,peTTM,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/8model,high,peTTM,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/8model,pctChg,peTTM,85,0.75,-1.0,0.5,0
./stock2015_2017/models/8model,pbMRQ,peTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/8model,close,peTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/8model,turn,peTTM,85,0.75,-1.0,0.5,0
./stock2015_2017/models/8model,low,peTTM,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/8model,volume,peTTM,85,0.75,-1.0,0.5,0
./stock2015_2017/models/8model,ALL,peTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/9model,pcfNcfTTM,pbMRQ,85,0.999995,1.0,0.0,0
./stock2015_2017/models/9model,open,pbMRQ,85,0.75,-1.0,0.5,0
./stock2015_2017/models/9model,peTTM,pbMRQ,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/9model,amount,pbMRQ,85,0.75,-1.0,0.5,0
./stock2015_2017/models/9model,psTTM,pbMRQ,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/9model,high,pbMRQ,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/9model,pctChg,pbMRQ,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/9model,pbMRQ,pbMRQ,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/9model,close,pbMRQ,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/9model,turn,pbMRQ,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/9model,low,pbMRQ,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/9model,volume,pbMRQ,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/9model,ALL,pbMRQ,85,0.75,-1.0,0.5,0
./stock2015_2017/models/10model,pcfNcfTTM,psTTM,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/10model,open,psTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/10model,peTTM,psTTM,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/10model,amount,psTTM,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/10model,psTTM,psTTM,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/10model,high,psTTM,85,0.666663,0.333333,0.5,0
./stock2015_2017/models/10model,pctChg,psTTM,85,0.999995,1.0,0.0,0
./stock2015_2017/models/10model,pbMRQ,psTTM,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/10model,close,psTTM,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/10model,turn,psTTM,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/10model,low,psTTM,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/10model,volume,psTTM,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/10model,ALL,psTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/11model,pcfNcfTTM,pcfNcfTTM,85,0.25,-1.0,-1.0,0
./stock2015_2017/models/11model,open,pcfNcfTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/11model,peTTM,pcfNcfTTM,85,0.499998,0.333333,-1.0,0
