target,day,actual_event,negative_event,positive_event,predictions,source,threshold
close,127,0,0.676811,0.323189,1,open,-1.0
close,128,0,0.67909,0.32091,1,open,-1.0
close,129,1,0.632555,0.367445,1,open,-1.0
close,130,0,0.663255,0.336745,1,open,-1.0
close,131,0,0.687724,0.312276,1,open,-1.0
close,132,0,0.701818,0.298182,1,open,-1.0
close,133,1,0.643823,0.356177,1,open,-1.0
close,134,1,0.628576,0.371424,1,open,-1.0
close,135,1,0.646643,0.353357,1,open,-1.0
close,136,0,0.652516,0.347484,1,open,-1.0
close,137,1,0.598018,0.401982,1,open,-1.0
close,138,0,0.631711,0.368289,1,open,-1.0
close,139,0,0.648038,0.351962,1,open,-1.0
close,140,1,0.640716,0.359284,1,open,-1.0
close,141,1,0.560094,0.439906,1,open,-1.0
close,142,1,0.576263,0.423737,1,open,-1.0
close,143,0,0.716419,0.283581,1,open,-1.0
close,144,1,0.675642,0.324358,1,open,-1.0
close,145,0,0.654603,0.345397,1,open,-1.0
close,146,0,0.688999,0.311001,1,open,-1.0
close,147,0,0.699565,0.300435,1,open,-1.0
close,148,0,0.680537,0.319463,1,open,-1.0
close,149,1,0.631603,0.368397,1,open,-1.0
close,150,1,0.637376,0.362624,1,open,-1.0
close,151,1,0.63336,0.36664,1,open,-1.0
close,152,0,0.682742,0.317258,1,open,-1.0
close,153,0,0.626521,0.373479,1,open,-1.0
close,154,0,0.652868,0.347132,1,open,-1.0
close,155,1,0.616645,0.383355,1,open,-1.0
close,156,1,0.66298,0.33702,1,open,-1.0
close,157,1,0.649003,0.350997,1,open,-1.0
close,158,0,0.656083,0.343917,1,open,-1.0
close,159,1,0.6277,0.3723,1,open,-1.0
close,160,0,0.669075,0.330925,1,open,-1.0
close,161,0,0.667451,0.332549,1,open,-1.0
close,162,1,0.625764,0.374236,1,open,-1.0
close,163,1,0.599718,0.400282,1,open,-1.0
close,164,1,0.631301,0.368699,1,open,-1.0
close,165,1,0.633286,0.366714,1,open,-1.0
close,166,0,0.617824,0.382176,1,open,-1.0
close,167,1,0.616908,0.383092,1,open,-1.0
close,168,0,0.662039,0.337961,1,open,-1.0
close,169,0,0.682156,0.317844,1,open,-1.0
close,170,1,0.627601,0.372399,1,open,-1.0
close,171,1,0.604845,0.395155,1,open,-1.0
close,172,0,0.669133,0.330867,1,open,-1.0
close,173,1,0.650067,0.349933,1,open,-1.0
close,174,0,0.66077,0.33923,1,open,-1.0
close,175,1,0.63601,0.36399,1,open,-1.0
close,176,0,0.687857,0.312143,1,open,-1.0
close,177,0,0.648466,0.351534,1,open,-1.0
close,178,1,0.613068,0.386932,1,open,-1.0
close,179,0,0.653033,0.346967,1,open,-1.0
close,180,0,0.657894,0.342106,1,open,-1.0
close,181,0,0.672384,0.327616,1,open,-1.0
close,182,0,0.659951,0.340049,1,open,-1.0
close,183,1,0.644829,0.355171,1,open,-1.0
close,184,1,0.63674,0.36326,1,open,-1.0
close,185,1,0.620957,0.379043,1,open,-1.0
close,186,0,0.660653,0.339347,1,open,-1.0
close,187,0,0.645212,0.354788,1,open,-1.0
close,188,1,0.643882,0.356118,1,open,-1.0
close,189,1,0.644623,0.355377,1,open,-1.0
close,190,0,0.67789,0.32211,1,open,-1.0
close,191,0,0.656309,0.343691,1,open,-1.0
close,192,1,0.649331,0.350669,1,open,-1.0
close,193,0,0.645087,0.354913,1,open,-1.0
close,194,0,0.657951,0.342049,1,open,-1.0
close,195,0,0.660967,0.339033,1,open,-1.0
close,196,1,0.62708,0.37292,1,open,-1.0
close,197,0,0.702487,0.297513,1,open,-1.0
close,198,0,0.655851,0.344149,1,open,-1.0
close,199,0,0.697199,0.302801,1,open,-1.0
close,200,0,0.670422,0.329578,1,open,-1.0
close,201,0,0.628121,0.371879,1,open,-1.0
close,202,0,0.666391,0.333609,1,open,-1.0
close,203,1,0.652016,0.347984,1,open,-1.0
close,204,1,0.622068,0.377932,1,open,-1.0
close,205,0,0.670115,0.329885,1,open,-1.0
close,206,1,0.638264,0.361736,1,open,-1.0
close,207,1,0.640394,0.359606,1,open,-1.0
close,208,0,0.640878,0.359122,1,open,-1.0
close,209,0,0.655167,0.344833,1,open,-1.0
close,210,0,0.646475,0.353525,1,open,-1.0
close,211,0,0.715601,0.284399,1,open,-1.0
close,212,0,0.62884,0.37116,1,open,-1.0
close,213,1,0.663538,0.336462,1,open,-1.0
close,214,0,0.676294,0.323706,1,open,-1.0
close,215,1,0.600804,0.399196,1,open,-1.0
close,216,0,0.689434,0.310566,1,open,-1.0
close,217,1,0.592392,0.407608,1,open,-1.0
close,218,0,0.626512,0.373488,1,open,-1.0
close,219,0,0.656218,0.343782,1,open,-1.0
close,220,0,0.665318,0.334682,1,open,-1.0
close,221,0,0.679876,0.320124,1,open,-1.0
close,222,1,0.595117,0.404883,1,open,-1.0
close,223,1,0.645672,0.354328,1,open,-1.0
close,224,0,0.722059,0.277941,1,open,-1.0
close,225,1,0.63866,0.36134,1,open,-1.0
close,226,1,0.619795,0.380205,1,open,-1.0
close,227,0,0.666632,0.333368,1,open,-1.0
close,228,0,0.635339,0.364661,1,open,-1.0
close,229,0,0.641657,0.358343,1,open,-1.0
close,230,0,0.677231,0.322769,1,open,-1.0
close,231,0,0.682542,0.317458,1,open,-1.0
close,232,1,0.604746,0.395254,1,open,-1.0
close,233,0,0.656585,0.343415,1,open,-1.0
close,234,0,0.666206,0.333794,1,open,-1.0
close,235,0,0.680326,0.319674,1,open,-1.0
close,236,1,0.576866,0.423134,1,open,-1.0
close,237,0,0.637979,0.362021,1,open,-1.0
close,238,0,0.666989,0.333011,1,open,-1.0
close,239,0,0.68553,0.31447,1,open,-1.0
close,240,1,0.61555,0.38445,1,open,-1.0
close,241,0,0.656043,0.343957,1,open,-1.0
close,242,1,0.672259,0.327741,1,open,-1.0
close,243,0,0.631843,0.368157,1,open,-1.0
close,244,1,0.652007,0.347993,1,open,-1.0
close,245,1,0.656554,0.343446,1,open,-1.0
close,246,0,0.657324,0.342676,1,open,-1.0
close,247,0,0.669044,0.330956,1,open,-1.0
close,248,1,0.66117,0.33883,1,open,-1.0
close,249,1,0.650001,0.349999,1,open,-1.0
close,250,0,0.676516,0.323484,1,open,-1.0
close,251,0,0.695216,0.304784,1,open,-1.0
close,252,0,0.692372,0.307628,1,open,-1.0
close,253,1,0.640473,0.359527,1,open,-1.0
close,254,0,0.668637,0.331363,1,open,-1.0
close,255,1,0.614582,0.385418,1,open,-1.0
close,256,0,0.631585,0.368415,1,open,-1.0
close,257,0,0.630731,0.369269,1,open,-1.0
close,258,0,0.694249,0.305751,1,open,-1.0
close,259,0,0.641092,0.358908,1,open,-1.0
close,260,1,0.592233,0.407767,1,open,-1.0
close,261,1,0.643175,0.356825,1,open,-1.0
close,262,0,0.646262,0.353738,1,open,-1.0
close,263,1,0.623689,0.376311,1,open,-1.0
close,264,1,0.640397,0.359603,1,open,-1.0
close,265,1,0.658944,0.341056,1,open,-1.0
close,266,0,0.657064,0.342936,1,open,-1.0
close,267,0,0.646688,0.353312,1,open,-1.0
close,268,1,0.629743,0.370257,1,open,-1.0
close,269,0,0.701756,0.298244,1,open,-1.0
close,270,1,0.582761,0.417239,1,open,-1.0
close,271,1,0.643982,0.356018,1,open,-1.0
close,272,0,0.708349,0.291651,1,open,-1.0
close,273,0,0.64327,0.35673,1,open,-1.0
close,274,1,0.637687,0.362313,1,open,-1.0
close,275,1,0.583275,0.416725,1,open,-1.0
close,276,0,0.659293,0.340707,1,open,-1.0
close,277,0,0.625701,0.374299,1,open,-1.0
close,278,0,0.587925,0.412075,1,open,-1.0
close,279,1,0.625175,0.374825,1,open,-1.0
close,280,1,0.631101,0.368899,1,open,-1.0
close,281,0,0.666137,0.333863,1,open,-1.0
close,282,1,0.637804,0.362196,1,open,-1.0
close,283,1,0.582136,0.417864,1,open,-1.0
close,284,1,0.621746,0.378254,1,open,-1.0
close,285,0,0.705164,0.294836,1,open,-1.0
close,286,0,0.612132,0.387868,1,open,-1.0
close,287,0,0.686801,0.313199,1,open,-1.0
close,288,1,0.665741,0.334259,1,open,-1.0
close,289,0,0.669732,0.330268,1,open,-1.0
close,290,0,0.717386,0.282614,1,open,-1.0
close,291,1,0.659225,0.340775,1,open,-1.0
close,292,0,0.677789,0.322211,1,open,-1.0
close,293,1,0.646498,0.353502,1,open,-1.0
close,294,1,0.635257,0.364743,1,open,-1.0
close,295,0,0.637904,0.362096,1,open,-1.0
close,296,0,0.653207,0.346793,1,open,-1.0
close,297,0,0.698589,0.301411,1,open,-1.0
close,298,1,0.644507,0.355493,1,open,-1.0
close,299,0,0.662493,0.337507,1,open,-1.0
close,300,0,0.670148,0.329852,1,open,-1.0
close,301,0,0.612696,0.387304,1,open,-1.0
close,302,0,0.691017,0.308983,1,open,-1.0
close,303,0,0.681265,0.318735,1,open,-1.0
close,304,0,0.70955,0.29045,1,open,-1.0
close,305,0,0.680713,0.319287,1,open,-1.0
close,306,0,0.644173,0.355827,1,open,-1.0
close,307,1,0.632458,0.367542,1,open,-1.0
close,308,0,0.652255,0.347745,1,open,-1.0
close,309,1,0.604808,0.395192,1,open,-1.0
close,310,0,0.655942,0.344058,1,open,-1.0
close,311,0,0.654662,0.345338,1,open,-1.0
close,312,0,0.667168,0.332832,1,open,-1.0
close,313,1,0.61998,0.38002,1,open,-1.0
close,314,0,0.667277,0.332723,1,open,-1.0
close,315,0,0.662841,0.337159,1,open,-1.0
close,316,0,0.665953,0.334047,1,open,-1.0
close,317,0,0.687456,0.312544,1,open,-1.0
close,318,0,0.64721,0.35279,1,open,-1.0
close,319,0,0.633923,0.366077,1,open,-1.0
close,320,0,0.66381,0.33619,1,open,-1.0
close,321,1,0.610518,0.389482,1,open,-1.0
close,322,1,0.610104,0.389896,1,open,-1.0
close,323,0,0.710612,0.289388,1,open,-1.0
close,324,0,0.646864,0.353136,1,open,-1.0
close,325,0,0.65884,0.34116,1,open,-1.0
close,326,1,0.598333,0.401667,1,open,-1.0
close,327,1,0.641702,0.358298,1,open,-1.0
close,328,0,0.681562,0.318438,1,open,-1.0
close,329,0,0.65012,0.34988,1,open,-1.0
close,330,0,0.672915,0.327085,1,open,-1.0
close,331,0,0.673621,0.326379,1,open,-1.0
close,332,0,0.704796,0.295204,1,open,-1.0
close,333,1,0.681923,0.318077,1,open,-1.0
close,334,1,0.579817,0.420183,1,open,-1.0
close,335,0,0.665387,0.334613,1,open,-1.0
close,336,1,0.642537,0.357463,1,open,-1.0
close,337,1,0.633452,0.366548,1,open,-1.0
close,338,1,0.671511,0.328489,1,open,-1.0
close,339,0,0.622212,0.377788,1,open,-1.0
close,340,0,0.646305,0.353695,1,open,-1.0
close,341,1,0.642994,0.357006,1,open,-1.0
close,342,1,0.597384,0.402616,1,open,-1.0
close,343,0,0.70852,0.29148,1,open,-1.0
close,344,0,0.644266,0.355734,1,open,-1.0
close,345,0,0.667339,0.332661,1,open,-1.0
close,346,0,0.658946,0.341054,1,open,-1.0
close,347,1,0.63631,0.36369,1,open,-1.0
close,348,0,0.676101,0.323899,1,open,-1.0
close,349,0,0.66996,0.33004,1,open,-1.0
close,350,1,0.634558,0.365442,1,open,-1.0
close,351,0,0.686718,0.313282,1,open,-1.0
close,352,0,0.640057,0.359943,1,open,-1.0
close,353,0,0.686252,0.313748,1,open,-1.0
close,354,0,0.728578,0.271422,1,open,-1.0
close,355,0,0.73513,0.26487,1,open,-1.0
close,356,0,0.694014,0.305986,1,open,-1.0
close,357,1,0.62058,0.37942,1,open,-1.0
close,358,0,0.705966,0.294034,1,open,-1.0
close,359,0,0.720677,0.279323,1,open,-1.0
close,360,0,0.70138,0.29862,1,open,-1.0
close,361,0,0.663048,0.336952,1,open,-1.0
close,362,1,0.638307,0.361693,1,open,-1.0
close,363,0,0.668393,0.331607,1,open,-1.0
close,364,0,0.676595,0.323405,1,open,-1.0
close,365,0,0.664864,0.335136,1,open,-1.0
close,366,1,0.646647,0.353353,1,open,-1.0
close,367,0,0.671076,0.328924,1,open,-1.0
close,368,0,0.681817,0.318183,1,open,-1.0
close,369,0,0.713133,0.286867,1,open,-1.0
close,370,1,0.626726,0.373274,1,open,-1.0
close,371,0,0.637573,0.362427,1,open,-1.0
close,372,0,0.675661,0.324339,1,open,-1.0
close,373,0,0.717332,0.282668,1,open,-1.0
close,374,0,0.685322,0.314678,1,open,-1.0
close,375,1,0.582719,0.417281,1,open,-1.0
close,376,0,0.704995,0.295005,1,open,-1.0
close,377,0,0.692341,0.307659,1,open,-1.0
close,378,1,0.657245,0.342755,1,open,-1.0
close,379,0,0.67343,0.32657,1,open,-1.0
close,380,0,0.656874,0.343126,1,open,-1.0
close,381,0,0.666416,0.333584,1,open,-1.0
close,382,0,0.684598,0.315402,1,open,-1.0
close,383,0,0.674411,0.325589,1,open,-1.0
close,384,0,0.683953,0.316047,1,open,-1.0
close,385,1,0.61482,0.38518,1,open,-1.0
close,386,0,0.73812,0.26188,1,open,-1.0
close,387,1,0.651019,0.348981,1,open,-1.0
close,388,1,0.652442,0.347558,1,open,-1.0
close,389,0,0.665191,0.334809,1,open,-1.0
close,390,0,0.658349,0.341651,1,open,-1.0
close,391,0,0.665956,0.334044,1,open,-1.0
close,392,1,0.655539,0.344461,1,open,-1.0
close,393,1,0.624924,0.375076,1,open,-1.0
close,394,0,0.675579,0.324421,1,open,-1.0
close,395,0,0.663,0.337,1,open,-1.0
close,396,0,0.674438,0.325562,1,open,-1.0
close,397,0,0.656892,0.343108,1,open,-1.0
close,398,1,0.646522,0.353478,1,open,-1.0
close,399,1,0.647985,0.352015,1,open,-1.0
close,400,1,0.666123,0.333877,1,open,-1.0
close,401,0,0.691932,0.308068,1,open,-1.0
close,402,0,0.662546,0.337454,1,open,-1.0
close,403,0,0.650517,0.349483,1,open,-1.0
close,404,0,0.676401,0.323599,1,open,-1.0
close,405,0,0.623329,0.376671,1,open,-1.0
close,406,1,0.592243,0.407757,1,open,-1.0
close,407,1,0.685409,0.314591,1,open,-1.0
close,408,0,0.672069,0.327931,1,open,-1.0
close,409,1,0.671666,0.328334,1,open,-1.0
close,410,0,0.658579,0.341421,1,open,-1.0
close,411,0,0.715954,0.284046,1,open,-1.0
close,412,0,0.732346,0.267654,1,open,-1.0
close,413,1,0.660476,0.339524,1,open,-1.0
close,414,0,0.671095,0.328905,1,open,-1.0
close,415,1,0.652133,0.347867,1,open,-1.0
close,416,0,0.675609,0.324391,1,open,-1.0
close,417,0,0.685543,0.314457,1,open,-1.0
close,418,1,0.632531,0.367469,1,open,-1.0
close,419,0,0.67797,0.32203,1,open,-1.0
close,420,0,0.691418,0.308582,1,open,-1.0
close,421,0,0.704938,0.295062,1,open,-1.0
close,422,0,0.685575,0.314425,1,open,-1.0
close,423,0,0.687429,0.312571,1,open,-1.0
close,424,0,0.686137,0.313863,1,open,-1.0
close,425,0,0.632815,0.367185,1,open,-1.0
close,426,1,0.617886,0.382114,1,open,-1.0
close,427,0,0.659296,0.340704,1,open,-1.0
close,428,0,0.70994,0.29006,1,open,-1.0
close,429,0,0.658659,0.341341,1,open,-1.0
close,430,0,0.695261,0.304739,1,open,-1.0
close,431,0,0.632537,0.367463,1,open,-1.0
close,432,0,0.681357,0.318643,1,open,-1.0
close,433,0,0.677461,0.322539,1,open,-1.0
close,434,0,0.715327,0.284673,1,open,-1.0
close,435,1,0.691977,0.308023,1,open,-1.0
close,436,0,0.702514,0.297486,1,open,-1.0
close,437,0,0.668899,0.331101,1,open,-1.0
close,438,0,0.680024,0.319976,1,open,-1.0
close,439,0,0.699875,0.300125,1,open,-1.0
close,440,0,0.678335,0.321665,1,open,-1.0
close,441,0,0.679916,0.320084,1,open,-1.0
close,442,0,0.694594,0.305406,1,open,-1.0
close,443,0,0.709591,0.290409,1,open,-1.0
close,444,0,0.707924,0.292076,1,open,-1.0
close,445,1,0.650608,0.349392,1,open,-1.0
close,446,0,0.687548,0.312452,1,open,-1.0
close,447,0,0.673996,0.326004,1,open,-1.0
close,448,0,0.66785,0.33215,1,open,-1.0
close,449,0,0.683044,0.316956,1,open,-1.0
close,450,0,0.707716,0.292284,1,open,-1.0
close,451,0,0.683793,0.316207,1,open,-1.0
close,452,0,0.648449,0.351551,1,open,-1.0
close,453,0,0.632763,0.367237,1,open,-1.0
close,454,1,0.604039,0.395961,1,open,-1.0
close,455,0,0.651744,0.348256,1,open,-1.0
close,456,0,0.636737,0.363263,1,open,-1.0
close,457,0,0.680401,0.319599,1,open,-1.0
close,458,1,0.673815,0.326185,1,open,-1.0
close,459,0,0.692448,0.307552,1,open,-1.0
close,460,0,0.67874,0.32126,1,open,-1.0
close,461,1,0.655237,0.344763,1,open,-1.0
close,462,0,0.634161,0.365839,1,open,-1.0
close,463,0,0.648941,0.351059,1,open,-1.0
close,464,0,0.674777,0.325223,1,open,-1.0
close,465,0,0.690294,0.309706,1,open,-1.0
close,466,0,0.675991,0.324009,1,open,-1.0
close,467,1,0.662513,0.337487,1,open,-1.0
close,468,0,0.718354,0.281646,1,open,-1.0
close,469,0,0.708469,0.291531,1,open,-1.0
close,470,1,0.598586,0.401414,1,open,-1.0
close,471,1,0.66066,0.33934,1,open,-1.0
close,472,0,0.665037,0.334963,1,open,-1.0
close,473,1,0.647368,0.352632,1,open,-1.0
close,474,0,0.642519,0.357481,1,open,-1.0
close,475,0,0.660738,0.339262,1,open,-1.0
close,476,0,0.65494,0.34506,1,open,-1.0
close,477,1,0.6324,0.3676,1,open,-1.0
close,478,0,0.662183,0.337817,1,open,-1.0
close,479,1,0.642535,0.357465,1,open,-1.0
close,480,0,0.738927,0.261073,1,open,-1.0
close,481,0,0.681727,0.318273,1,open,-1.0
close,482,0,0.692296,0.307704,1,open,-1.0
close,483,1,0.667069,0.332931,1,open,-1.0
close,484,0,0.685091,0.314909,1,open,-1.0
close,485,0,0.724174,0.275826,1,open,-1.0
close,486,0,0.652306,0.347694,1,open,-1.0
close,487,0,0.732533,0.267467,1,open,-1.0
close,488,1,0.575537,0.424463,1,open,-1.0
close,489,1,0.654164,0.345836,1,open,-1.0
close,490,0,0.661468,0.338532,1,open,-1.0
close,491,1,0.662867,0.337133,1,open,-1.0
close,492,0,0.674175,0.325825,1,open,-1.0
close,493,0,0.667631,0.332369,1,open,-1.0
close,494,0,0.648718,0.351282,1,open,-1.0
close,495,1,0.653616,0.346384,1,open,-1.0
close,496,0,0.672742,0.327258,1,open,-1.0
close,497,0,0.686746,0.313254,1,open,-1.0
close,498,0,0.699059,0.300941,1,open,-1.0
close,499,1,0.624578,0.375422,1,open,-1.0
close,500,1,0.673718,0.326282,1,open,-1.0
close,501,0,0.708485,0.291515,1,open,-1.0
close,502,0,0.652335,0.347665,1,open,-1.0
close,503,0,0.676431,0.323569,1,open,-1.0
close,504,0,0.689245,0.310755,1,open,-1.0
close,505,0,0.672278,0.327722,1,open,-1.0
close,506,0,0.675359,0.324641,1,open,-1.0
close,507,0,0.737686,0.262314,1,open,-1.0
close,508,1,0.65372,0.34628,1,open,-1.0
close,509,1,0.668287,0.331713,1,open,-1.0
close,510,0,0.637328,0.362672,1,open,-1.0
close,511,0,0.654524,0.345476,1,open,-1.0
close,512,0,0.630597,0.369403,1,open,-1.0
close,513,0,0.632689,0.367311,1,open,-1.0
close,514,1,0.616316,0.383684,1,open,-1.0
close,515,0,0.668906,0.331094,1,open,-1.0
close,516,0,0.682695,0.317305,1,open,-1.0
close,517,1,0.650843,0.349157,1,open,-1.0
close,518,0,0.677926,0.322074,1,open,-1.0
close,519,0,0.657821,0.342179,1,open,-1.0
close,520,1,0.687088,0.312912,1,open,-1.0
close,521,1,0.668128,0.331872,1,open,-1.0
close,522,0,0.655314,0.344686,1,open,-1.0
close,523,1,0.581941,0.418059,1,open,-1.0
close,524,0,0.626385,0.373615,1,open,-1.0
close,525,0,0.663205,0.336795,1,open,-1.0
close,526,0,0.68323,0.31677,1,open,-1.0
close,527,0,0.652625,0.347375,1,open,-1.0
close,528,0,0.664004,0.335996,1,open,-1.0
close,529,1,0.63116,0.36884,1,open,-1.0
close,530,0,0.678367,0.321633,1,open,-1.0
close,531,1,0.61128,0.38872,1,open,-1.0
close,532,0,0.669692,0.330308,1,open,-1.0
close,533,0,0.705062,0.294938,1,open,-1.0
close,534,0,0.68248,0.31752,1,open,-1.0
close,535,1,0.611296,0.388704,1,open,-1.0
close,536,0,0.665738,0.334262,1,open,-1.0
close,537,0,0.684372,0.315628,1,open,-1.0
close,538,0,0.67435,0.32565,1,open,-1.0
close,539,1,0.672184,0.327816,1,open,-1.0
close,540,0,0.679441,0.320559,1,open,-1.0
close,541,1,0.651631,0.348369,1,open,-1.0
close,542,0,0.663521,0.336479,1,open,-1.0
close,543,1,0.666462,0.333538,1,open,-1.0
close,544,0,0.661955,0.338045,1,open,-1.0
close,545,1,0.681555,0.318445,1,open,-1.0
close,546,0,0.671498,0.328502,1,open,-1.0
close,547,0,0.666984,0.333016,1,open,-1.0
close,548,1,0.642743,0.357257,1,open,-1.0
close,549,0,0.684759,0.315241,1,open,-1.0
close,550,0,0.666891,0.333109,1,open,-1.0
close,551,0,0.692599,0.307401,1,open,-1.0
close,552,1,0.655877,0.344123,1,open,-1.0
close,553,1,0.653509,0.346491,1,open,-1.0
close,554,1,0.668616,0.331384,1,open,-1.0
close,555,1,0.656628,0.343372,1,open,-1.0
close,556,0,0.691676,0.308324,1,open,-1.0
close,557,0,0.710543,0.289457,1,open,-1.0
