loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./payload2015_2017/models/9model,41.62222,41.68333,-87.58889,-87.51111,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.786744,0.484615,0.421053,7
./payload2015_2017/models/10model,41.68333,41.74444,-87.74444,-87.66667,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.967852,0.935714,0.0,7
./payload2015_2017/models/10model,41.68333,41.74444,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.993169,0.986348,0.0,7
./payload2015_2017/models/10model,41.68333,41.74444,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.990632,0.981273,0.0,7
./payload2015_2017/models/10model,41.68333,41.74444,-87.74444,-87.66667,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.987314,0.974638,0.0,7
./payload2015_2017/models/11model,41.68333,41.74444,-87.58889,-87.51111,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/11model,41.68333,41.74444,-87.58889,-87.51111,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/11model,41.68333,41.74444,-87.58889,-87.51111,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/11model,41.68333,41.74444,-87.58889,-87.51111,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/12model,41.74444,41.80556,-87.82222,-87.74444,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.87988,0.742574,0.235294,7
./payload2015_2017/models/12model,41.74444,41.80556,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.85245,0.685864,0.285714,7
./payload2015_2017/models/12model,41.74444,41.80556,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.830455,0.560606,0.3125,7
./payload2015_2017/models/12model,41.74444,41.80556,-87.82222,-87.74444,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.846373,0.678218,0.333333,7
./payload2015_2017/models/13model,41.80556,41.86667,-87.82222,-87.74444,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.798261,0.5125,0.415301,7
